岗位名称,企业名称,最低薪资,最高薪资,工作城市,工作区域,工作街道,学历要求,工作年限要求,企业规模,企业性质,工作类型,岗位发布时间,岗位要求,source,js 有深度学习，机器学习，搜索，推荐等算法经验优先。 任职要求,任意一种计算机语言都可以～都在招哦～全国多个城市在招,偶尔加班若加班一天工作时间不超过10小时， 具体时间以项目告知为准 4.能一周左右入职 5.工作地点,善于寻求资源解决问题;对工作的熟悉度提升后，有自己创新的想法。表现出解决复杂问题的能力。6.可独立领导跨组的项目;在专业方面可以指导和培养新员工任职条件,工作稳定。入职即签合同，六险一金，社保全额，有带教！地点:北京 上海 杭州 苏州 南京 成都 武汉 西安 深圳 东莞全程线上面试，下午茶齐全，夜宵备好，城际班车。硬件开发/嵌入式开发/AI/算法/通用软件开发测试等都有职位。java/c/++/python/测试/GO/前端职位描述,开展后端服务的设计、开发、测试等工作；3、根据实际业务需求，完成各类设计文档、分析报告、ppt等材料的部分内容；4、根据部门领导安排的其他工作任务。 岗位要求,程序设计；3.根据设计文档或需求说明完成代码编写，调试，测试和维护；4.分析并解决软件开发过程中的问题；5.协助测试工程师制定测试计划，定位发现的问题；6.配合项目经理完成相关任务目标。任职要求,能提出优化建议。二、 任职要求,负责对应模块的需求管理；2、完成所负责模块的详细设计和接口设计； 3、负责分配到的开发任务或项目的进度控制；4、负责开发过程中异常情况的检核、报告、追踪和改善；5、负责自己开发的功能点的单元测试工作，并确保功能点品质。任职要求
java开发工程师,北京银丰新融科技开发有限公司,8001,13000,成都,双流,华阳,本科,3-5年,1000-9999人,民营,全职,2025-07-02 10:56:47,1、Java基础扎实，能够独立完成模块的设计开发，熟练使用mysql或oracle数据库，并具备SQL优化能力，熟悉Linux系统2、熟悉银行业务，了解银行相关系统的开发环境，熟悉反洗钱业务，能够独立处理生产问题3、具备独立沟通能力，理解能力强，有项目管理经验4、统招本科，计算机专业，3年以上java开发经验,Boss直聘,,,,,,,,,
Java开发工程师,四川美康医药软件研究开发股份有限公司,7001,10000,成都,武侯,桂溪,本科,1-3年,500-999人,股份制企业,全职,2025-06-20 00:17:03,岗位职责：  1.参与产品需求分析、功能设计及讨论；  2.产品开发后端接口文档编写；  3.负责产品功能编码实现，确保产品的质量、安全和性能； 4.持续维护升级现有产品，修复改进优化产品功能。  岗位要求  1. 本科以上学历，计算机相关专业；  2. 一年以上JAVA编程工作经验；  3. 熟悉J2EE体系架构，熟悉Eclipse,Boss直聘,,,,,,,,,
java开发,软通动力信息技术(集团)股份有限公司,8001,14000,成都,武侯,石羊,大专,5-10年,10000人以上,民营,全职,2025-07-10 15:55:18,工作职责:1.负责根据业务需求进行模块级详细设计，并按照要求编写详设文档;2.根据设计文档或需求说明完成代码编写、调试、测试与维护;3、分析并解决软件开发过程中的问题。任职要求:1、计算机或相关专业专科以上学历、6年以上工作经验;2、Java基础扎实、熟悉多线程、集合等基础知识:3、熟悉SpringBoot、Maven，熟悉SQL,Boss直聘,,,,,,,,,
初级java开发工程师,成都钧航科技有限公司,6001,7000,成都,青羊,文家,本科,1-3年,20-99人,,全职,2025-07-10 15:04:41,一、 工作职责1) 参与或负责软件核心模块的设计与开发；2) 参与新技术预言，完成技术选型和设计；3) 对系统进行持续分析优化，定位技术问题，能提出并执行改进方案。4) 理解业务需求及应用场景,Boss直聘,,,,,,,,1) 本科以上学历，计算机、通信、电子类专业优先；2) 1年以上后端研发经验，能吃苦耐劳；3) 精通sql语言，至少使用过MySQL、SqlServer、Oracle中的两种...,
java开发,北京易才博普奥管理顾问有限公司,10001,14000,成都,崇州,崇阳,大专,3-5年,1000-9999人,民营,全职,2025-07-10 14:03:09,1) 掌握JAVA编程2) 掌握Spring Cloud架构3) 熟悉redis/kafka服务4) 良好的沟通技巧5) 良好的团队合作精神,Boss直聘,,,,,,,,,
JAVA开发-五险一金（双休）,软通动力信息技术(集团)股份有限公司,8001,10000,成都,武侯,石羊,大专,5-10年,10000人以上,民营,全职,2025-07-10 15:57:25,业务技能要求:1.熟练掌握Java、JavaScript、go等开发语言，有良好的代码编写和架构设计能力。2.有丰富的问题定位能力，并能够完成性能优化。3.熟悉DevOps软件开发流程，熟悉公司可信相关要求，能够独立完成需求交付。专业知识要求:1.了解应用互联网应用开发相关知识，具备后台服务器/Android/测试实际开发经验。2.具备分布式高并发系统构建经验，或大型Android/鸿蒙应用开发经...,Boss直聘,,,,,,,,,
Java开发工程师,成都芯之南科技有限公司,7001,12000,成都,郫都,犀浦,大专,3-5年,20-99人,,全职,2025-07-10 13:44:09,工作职责及任职要求：1、大专及以上学历，计算机、软件工程或其他相关专业，4年以上JAVA应用开发经验。2、精通JAVA语言，熟练掌握1/O操作、多线程应用、反射技术原理等。3、了解常用的后端框框架：spring、springmvc、 springboot、Mybatis、springcloud等，理解其实现原理和实现机制。4、掌握oracle/Mysql数据库的使用，了解Redis缓存、Rabbi...,Boss直聘,,,,,,,,,
后端JAVA开发岗(J11183),亚中医疗,10001,16000,成都,武侯,簇锦,本科,3-5年,500-999人,民营,全职,2025-07-10 13:19:29,工作职责:1、负责医院HRP系统（财务、成本、费用、资金）相关需求开发；2、参与HRP系统开发方案设计；3、进行新技术调研，持续对产品进行维护和迭代升级；任职资格:1、计算机相关专业本科以上，3年及以上软件开发经验；2、熟练掌握java语言，熟练掌握 SpringMVC,Boss直聘,,,,,,,,,
Java开发,外企德科数字技术有限公司,11001,22000,成都,郫都,合作街道,本科,1-3年,10000人以上,合资,全职,2025-07-10 13:05:04,1、熟练掌握Springboot开发框架，具备良好的Java编程习惯，2、熟悉常用的数据结构及算法；熟悉数据库、多线程、中间件开发等；3、熟悉常用的开发工具，Git等代码库控制工具，具备基本的软件工程知识；4、学习能力强，工作积极主动，愿意接受挑战。,Boss直聘,,,,,,,,,
java开发工程师,新晨科技,10001,14000,成都,双流,煎茶,本科,3-5年,500-999人,民营,全职,2025-07-10 11:24:54,岗位职责：1. 负责功能模块开发、单元测试、配合用户测试； 2、协助并快速定位及解决开发及测试过程中的技术问题； 3、能按计划有效且高质量的完成分配的任务； 4、负责系统上线后的运行维护及功能优化等开发工作。任职资格： 1、本科以上学历，3年开发工作经验； 2、熟练使用JAVA，JavaScript，熟悉Java多线程，SOCKET等； 3、熟悉Springboot等主流开发框架；4、熟悉Orac...,Boss直聘,,,,,,,,,
